Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
1,Foyesade Oluokun,JAX,27,LB,17,17,0,90,71,78.90%,561,7.9,6.2,1,96.3,3.4,187,374,39,0,7,2,9,184,10,5.20%,OluoFo00
2,Nick Bolton,KAN,22,LB,17,17,2,74,61,82.40%,580,9.5,7.8,1,92.6,3.7,214,366,37,1,4,2,7,180,7,3.70%,BoltNi00
3,Jordyn Brooks,SEA,25,LB,16,16,0,75,54,72.00%,689,12.8,9.2,5,122.6,5,194,495,17,3,2,1,6,161,11,6.40%,BrooJo01
4,Roquan Smith*+,2TM,25,LB,17,17,3,69,49,71.00%,419,8.6,6.1,2,78.1,4.4,153,266,32,5,0,4.5,10,169,8,4.50%,SmitRo07
5,Zaire Franklin,IND,26,LB,17,17,0,73,55,75.30%,459,8.3,6.3,0,91.1,2.9,102,357,28,0,2,3,6,167,17,9.20%,FranZa00
6,Alex Singleton,DEN,29,LB,17,12,0,77,59,76.60%,425,7.2,5.5,2,97.6,3.3,124,301,42,5,3,0,8,163,7,4.10%,SingAl00
7,T.J. Edwards,PHI,26,LB,17,17,0,76,53,69.70%,400,7.5,5.3,0,82.1,2.6,79,321,23,4,3,2,9,159,11,6.50%,EdwaTJ02
8,C.J. Mosley*,NYJ,30,LB,17,17,1,87,57,65.50%,643,11.3,7.4,3,94.2,5.7,278,365,13,1,2,1,4,158,7,4.20%,MoslC.00
9,Bobby Okereke,IND,26,LB,17,16,0,82,58,70.70%,515,8.9,6.3,1,91.3,4,130,385,21,1,0,0,1,151,11,6.80%,OkerBo00
10,Jalen Pitre,HOU,23,DB,17,17,5,63,41,65.10%,662,16.1,10.5,4,88.2,13.3,477,185,7,1,0,1,2,147,19,11.40%,PitrJa00
11,Drue Tranquill,LAC,27,LB,17,16,1,43,37,86.00%,376,10.2,8.7,1,101.2,5.5,163,213,36,1,3,5,9,146,9,5.80%,TranDr00
12,Eric Kendricks,MIN,30,LB,17,17,0,85,63,74.10%,583,9.3,6.9,2,100.3,3.5,202,381,32,3,1,1,5,137,12,8.10%,KendEr00
13,Rashaan Evans,ATL,27,LB,17,17,0,58,45,77.60%,480,10.7,8.3,2,112.6,6.5,276,204,31,1,1,2,4,159,3,1.90%,EvanRa01
14,Jordan Hicks,MIN,30,LB,17,17,1,63,48,76.20%,562,11.7,8.9,1,101.4,3.7,156,406,17,1,1,3,5,129,8,5.80%,HickJo00
15,Cody Barton,SEA,26,LB,17,11,2,51,44,86.30%,382,8.7,7.5,2,94.6,3.4,133,249,12,0,0,2,2,136,1,0.70%,BartCo00
16,Jonathan Owens,HOU,27,DB,17,17,0,42,28,66.70%,474,16.9,11.3,3,128.5,10.6,293,181,4,0,0,1,1,125,8,6.00%,OwenJo01
17,Nicholas Morrow,CHI,27,LB,17,17,1,44,33,75.00%,333,10.1,7.6,2,101.8,6.5,150,183,24,5,0,0,5,116,6,4.90%,MorrNi00
18,Logan Wilson,CIN,26,LB,15,15,1,74,55,74.30%,489,8.9,6.6,1,90.4,4.2,210,279,38,3,4,2.5,10,123,6,4.70%,WilsLo00
19,Dre Greenlaw,SFO,25,LB,15,15,1,89,70,78.70%,483,6.9,5.4,1,88.3,2.9,163,320,23,2,0,0,2,127,9,6.60%,GreeDr00
20,Christian Kirksey,HOU,30,LB,17,17,2,60,45,75.00%,407,9,6.8,2,90.1,5.3,166,241,32,1,4,3,9,124,10,7.50%,KirkCh00
21,Bobby Wagner,LAR,32,LB,17,17,2,48,33,68.80%,359,10.9,7.5,2,87.1,1.4,56,303,49,2,2,6,10,140,2,1.40%,WagnBo00
22,Lavonte David,TAM,32,LB,17,17,0,73,55,75.30%,376,6.8,5.2,1,90.9,3.7,156,220,24,0,0,3,3,124,9,6.80%,DaviLa00
23,Julian Love,NYG,24,S,16,16,2,50,34,68.00%,333,9.8,6.7,3,89.8,9.5,180,153,16,1,0,1,2,124,5,3.90%,LoveJu00
24,Patrick Queen,BAL,23,LB,17,17,2,66,51,77.30%,464,9.1,7,0,83.1,3.4,136,328,64,3,7,5,17,117,9,7.10%,QueePa00
25,Jalen Thompson,ARI,24,S,17,17,1,56,38,67.90%,512,13.5,9.1,4,113.1,10.5,277,235,3,0,1,0,1,110,4,3.50%,ThomJa04
26,Fred Warner*+,SFO,26,LB,17,17,1,68,41,60.30%,438,10.7,6.4,0,73,4.3,142,296,35,2,3,2,8,130,8,5.80%,WarnFr00
27,Shaq Thompson,CAR,28,LB,17,17,0,70,47,67.10%,379,8.1,5.4,2,90.1,2.8,90,289,35,1,1,0.5,3,135,11,7.50%,ThomSh01
28,Alex Anzalone,DET,28,LB,17,17,1,46,32,69.60%,318,9.9,6.9,0,79.8,5.7,129,189,60,5,3,1.5,10,125,10,7.40%,AnzaAl00
29,Jevon Holland,MIA,22,S,17,17,2,49,38,77.60%,516,13.6,10.5,3,113.9,9.9,343,173,21,3,0,1.5,5,96,5,5.00%,HollJe02
30,Donovan Wilson,DAL,27,S,17,17,1,39,20,51.30%,166,8.3,4.3,2,69,9.6,96,70,30,3,4,5,12,101,9,8.20%,WilsDo01
31,Frankie Luvu,CAR,26,LB,15,14,1,48,34,70.80%,277,8.1,5.8,3,97.3,1.6,71,206,57,3,3,7,13,111,7,5.90%,LuvuFr00
32,Budda Baker*,ARI,26,S,15,15,2,40,30,75.00%,282,9.4,7.1,3,98.1,5,108,174,55,5,1,0,6,111,14,11.20%,BakeBu00
33,L'Jarius Sneed,KAN,25,CB,17,17,3,104,69,66.30%,649,9.4,6.2,4,84.2,6.8,312,337,40,3,3,3.5,10,108,5,4.40%,SneeLJ00
34,Quay Walker,GNB,22,LB,17,16,0,45,24,53.30%,184,7.7,4.1,0,63.6,3,32,152,52,2,3,1.5,7,121,6,4.70%,WalkQu00
35,Quincy Williams,NYJ,26,LB,15,15,0,51,44,86.30%,306,7,6,0,91.7,3.8,170,136,10,0,3,3,7,106,9,7.80%,WillQu01
36,Adrian Amos,GNB,29,S,17,17,1,50,35,70.00%,428,12.2,8.6,3,107.7,8.8,310,118,10,1,2,1,4,102,4,3.80%,AmosAd00
37,Jaquan Brisker,CHI,23,DB,15,15,1,48,27,56.30%,352,13,7.3,4,98.6,9.5,209,143,15,1,0,4,5,104,7,6.30%,BrisJa01
38,DeShon Elliott,DET,25,S,14,13,1,38,31,81.60%,552,17.8,14.5,2,125.3,15.6,432,120,16,2,1,0,3,96,5,5.00%,ElliDe02
39,Rayshawn Jenkins,JAX,28,S,17,17,3,55,39,70.90%,450,11.5,8.2,1,78.6,8.8,259,191,23,5,2,1,8,116,18,13.40%,JenkRa00
40,Devin White,TAM,24,LB,17,17,0,60,46,76.70%,400,8.7,6.7,2,104.9,2.8,137,263,65,7,9,5.5,22,124,11,8.10%,WhitDe02
41,Grant Delpit,CLE,24,S,17,16,4,41,21,51.20%,352,16.8,8.6,5,80.5,12.4,190,162,13,0,0,0,0,105,9,7.90%,DelpGr00
42,Matt Milano*+,BUF,28,LB,15,15,3,68,45,66.20%,388,8.6,5.7,0,62.6,3.7,129,259,36,3,5,1.5,10,99,13,11.60%,MilaMa00
43,Marcus Epps,PHI,26,S,17,17,0,52,38,73.10%,470,12.4,9,6,139.1,9.2,290,180,6,1,0,0,1,94,10,9.60%,EppsMa00
